Reference,Value,Footprint,Count,Datasheet,FootprintLib,Distributor,PN
U4,mcp2562,SOIC-8-N,1,,SMD_Packages,Mouser,579-MCP2562-E/SN
U2,MIC5317,SOT-23-5,1,,TO_SOT_Packages_SMD,Mouser,998-MIC5317-3.3YM5TR
C7;C3;C1;C19;C20,10uf,C_0603_HandSoldering,5,,Capacitors_SMD,Mouser,80-C0603C105K8P
C6;C16;C9;C10;C2;C8;C4;C18;C14;C12,0.1uf,C_0603_HandSoldering,10,,Capacitors_SMD,,
C15;C5;C17;C13;C11,1uf,C_0603_HandSoldering,5,,Capacitors_SMD,Mouser,80-C0603C105K8P
D7,reverse,SOD-123,1,,Diodes_SMD,Mouser,581-SD1206S040S0R5
P6,CAN_IN,Molex-duraClick-4conn,1,,User_Connectors,Mouser,538-53261-0471
P7,CAN_OUT,Molex-duraClick-4conn,1,,User_Connectors,Mouser,538-53261-0471
P1,IO1,Molex-duraClick-4conn,1,,User_Connectors,Mouser,538-53261-0471
P2,IO2,Molex-duraClick-4conn,1,,User_Connectors,Mouser,538-53261-0471
R10;R11;R12,120R,R_0603_HandSoldering,3,,Resistors_SMD,Mouser,71-CRCW0603-120-E3
D8,LED1,LED_0603,1,,LEDs,,
D9,LED2,LED_0603,1,,LEDs,,
P5,USB,USB_Micro-B,1,,Connect,Mouser,649-10118194-0001LF
SW2,BOOT,SW_SPST_FSMSM,1,,Buttons_Switches_SMD,,
SW1,RESET,SW_SPST_FSMSM,1,,Buttons_Switches_SMD,,
U1,NJM2870F0,SOT-23-5,1,,TO_SOT_Packages_SMD,Mouser,513-NJM2870F05-TE2
R1;R9;R8,100K,R_0603_HandSoldering,3,,Resistors_SMD,Mouser,71-CRCW0603-100K-E3
P4,CONN_01X03,Pin_Header_Straight_1x03,1,,Pin_Headers,,
D1;D2;D3;D4,hi_v,SOD-123,4,,Diodes_SMD,,
R6;R5;R3;R2,R,R_0603_HandSoldering,4,,Resistors_SMD,,
U3,STM32F042C6,TQFP-48_7x7mm_Pitch0.5mm,1,,Housings_QFP,,
